condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
15bit_L30_15max,0,20600,0.0,0.0,0.0,0,-1
15bit_L30_15max,1,20601,1.0,0.995,1.0,0,-1
15bit_L30_15max,2,20602,2.0,1.99,2.0,0,-1
15bit_L30_15max,3,20603,0.0,0.0,0.0,0,-1
15bit_L30_15max,4,20604,0.0,0.0,0.0,0,-1
15bit_L30_15max,5,20605,0.0,0.0,0.0,0,-1
15bit_L30_15max,6,20606,1.0,1.0,1.0,0,-1
15bit_L30_15max,7,20607,0.0,0.0,0.0,0,-1
15bit_L30_15max,8,20608,0.0,0.0,0.0,0,-1
15bit_L30_15max,9,20609,0.0,0.0,0.0,0,-1
